unnested_genres,release_year,num_games,avg_gfq_rating,avg_meta_score,avg_meta_uscore,avg_igdb_score,avg_igdb_uscore,avg_igdb_popularity
Action,1997,1,3.79,,,,80.00,1.00
Action,1998,1,4.23,96.00,90.00,80.00,90.00,14.82
Action,1999,2,3.68,,78.50,70.00,76.00,2.56
Action,2000,2,3.28,88.00,80.00,70.00,77.50,14.15
Action,2001,3,3.60,76.00,79.00,69.00,78.00,4.04
Action,2002,1,4.17,88.00,91.00,63.00,88.00,9.92
Action,2003,2,2.63,79.00,91.00,71.00,63.00,1.23
Action,2004,6,3.90,85.50,85.00,82.33,79.60,6.98
Action,2005,1,3.36,,77.00,,69.00,3.23
Action,2006,17,3.66,79.19,79.76,78.75,72.82,3.14
Action,2007,58,3.78,79.41,80.34,72.63,76.75,4.45
Action,2008,61,3.59,77.96,73.26,76.44,73.51,5.33
Action,2009,111,3.37,70.55,69.66,70.80,69.52,3.62
Action,2010,81,3.37,72.88,70.26,72.94,68.64,3.85
Action,2011,102,3.35,70.12,68.00,73.88,67.96,3.49
Action,2012,162,3.35,70.46,68.31,72.65,67.61,3.38
Action,2013,199,3.43,71.33,70.19,73.68,69.44,2.77
Action,2014,642,3.32,67.67,64.79,69.40,62.75,2.86
Action,2015,1137,3.35,70.15,67.10,67.94,62.48,2.18
Action,2016,1842,3.41,69.92,68.37,67.33,63.31,1.88
Action,2017,2696,3.20,71.12,70.67,70.14,65.52,1.86
Action,2018,3283,2.95,70.69,69.67,68.35,66.62,4.19
Action,2019,882,2.89,71.13,67.58,67.32,67.26,6.63
Adventure,2002,1,4.17,88.00,91.00,63.00,88.00,9.92
Adventure,2007,8,3.76,75.88,79.25,64.50,72.50,2.78
Adventure,2008,23,3.62,74.38,72.11,74.94,68.60,3.93
Adventure,2009,70,3.66,74.14,70.53,71.95,69.77,2.64
Adventure,2010,48,3.42,74.00,70.27,75.85,67.48,2.46
Adventure,2011,54,3.61,73.59,70.49,75.25,67.29,3.04
Adventure,2012,97,3.52,73.93,73.40,71.84,71.48,3.36
Adventure,2013,151,3.55,72.62,71.47,74.00,70.18,4.89
Adventure,2014,577,3.46,68.13,66.43,69.07,63.26,2.41
Adventure,2015,993,3.33,68.35,65.13,68.85,61.56,2.48
Adventure,2016,1538,3.49,70.03,68.02,67.37,63.48,2.35
Adventure,2017,2302,3.27,72.00,70.81,70.44,65.30,2.29
Adventure,2018,2780,3.09,70.88,69.53,68.49,66.35,4.20
Adventure,2019,818,2.92,70.29,67.81,68.23,66.46,6.64
Audio Production,2018,1,,,,,,
Casual,2003,1,1.57,,,,50.00,1.00
